ID	Gene names	Peptides	Exp_EB_rep1	Exp_EB_rep2	Exp_EB_rep3	Exp_ESC_rep1	Exp_ESC_rep2	Exp_ESC_rep3	Exp_hFF_rep1	Exp_hFF_rep2	Exp_hFF_rep3	Exp_iPSC_rep1	Exp_iPSC_rep2	Exp_iPSC_rep3	Exp_RKO_rep1	Exp_RKO_rep2	Exp_RKO_rep3	Sm_EB_rep1	Sm_EB_rep2	Sm_EB_rep3	Sm_ESC_rep1	Sm_ESC_rep2	Sm_ESC_rep3	Sm_hFF_rep1	Sm_hFF_rep2	Sm_hFF_rep3	Sm_iPSC_rep1	Sm_iPSC_rep2	Sm_iPSC_rep3	Sm_RKO_rep1	Sm_RKO_rep2	Sm_RKO_rep3
A1L020	MEX3A	5	0.132195591	0.197755916	0.376026921	0.333342816	0.233506181	0.215659248	-0.252217471	0.06230696	-0.378087507	0.304454177	0.310793027	0.567042893	-0.809570452	-0.799472885	-0.710336751	-0.639300017	-0.982577659	-0.553541182	-0.03077364	-0.135596482	-0.758648038	0.340782915	-0.022125029	0.030863169	-0.128124938	-0.483516532	-0.722277975	-0.584643219	-0.051096392	-0.519625528
A1L0T0	ILVBL	21	0.421421479	0.486761737	0.369985562	-0.237985191	-0.192649933	-0.330737997	0.093091409	0.116548038	0.028362576	0.145562892	0.042198327	-0.035232839	-0.377158127	-0.53109075	-0.507369018	-0.022261224	-0.063095683	-0.056989072	-0.175007177	-0.22949351	-0.2364284	0.106068953	0.178270446	0.032496926	-0.093684346	-0.039415275	-0.163182849	0.043046688	0.141376065	0.037172838
A1L170	C1orf226	4	0.18998308	-0.079856136	0.272673696	0.390373912	0.727293025	-0.146495492	-1.008156031	-1.242966989	-0.061233888	0.628005759	0.766609552	0.067081359	-1.72188347	-1.210975604	-1.19022864	0.306176899	-1.147407078	0.014658751	0.197044636	0.213586374	-0.186855232	1.509739285	-1.505879074	0.359545651	-0.510599434	-0.228685315	-0.465529898	0.294265215	-1.363888065	0.920020861
A1L390	PLEKHG3	12	0.731842119	1.166701374	0.776003766	-0.144367973	-0.022544587	-0.063609349	-0.791769511	-1.206495035	-0.671022248	0.252299192	0.32170376	0.317533624	-0.041521992	0.105796957	0.075096775	-0.70983261	-0.794674604	-0.843313257	-0.293025139	0.67206104	-0.389410546	-0.119714469	-0.778632105	-0.121930953	-0.599496504	-0.72344341	-0.654219871	-1.001619484	-1.243189092	-0.972809658
A1L4H1	SSC5D	7	0.249533708	0.464579585	0.398211854	-0.86844492	-0.470734592	-0.510108387	0.359409297	0.517115221	0.751581662	-0.763465821	-0.557620199	-0.20879304	-0.508695172	-1.246184472	-0.475818086	-0.062176219	0.445084701	0.429852151	0.179382988	-0.259335779	-0.084060426	-0.280861821	0.168814376	0.12376201	-0.343181628	-0.666021632	-0.07629926	-1.42095834	-0.30002953	-0.193355833
A1X283	SH3PXD2B	35	0.590792963	0.531151137	0.661241509	0.553916188	0.522722007	0.665890741	0.223273041	0.097499677	0.199785337	0.691534052	0.675843847	0.75143934	-0.730895303	-0.516674639	-0.791084796	-1.15123088	-1.141988363	-1.160803954	-0.987651671	-0.933843558	-1.077269975	-0.8841652	-1.119928057	-1.216854401	-1.13432245	-1.083675404	-1.058288873	-0.324035857	-0.299150262	-0.877792213
A1XBS5	FAM92A1	5	-0.363178971	-0.549171405	0.060480793	0.069993498	0.394508847	0.196315069	-0.209266982	-0.100827795	-0.054140384	-0.470673468	0.135032149	-0.378740913	0.82008468	1.042747388	1.163862131	-0.057911578	-1.184735915	-0.11957002	-0.625342578	-0.112295998	-0.781940556	-0.395252657	-1.171298278	-0.508375876	-0.569144903	0.453543005	-0.414659434	-1.695830272	-1.326505176	-1.197287368
A2RRP1	NBAS	31	0.540152069	0.780372947	0.817416121	0.131096247	0.019151242	0.003954655	0.719013498	0.835948324	0.800355054	0.35069436	0.351790792	0.29599683	0.150113202	0.100390292	0.211354166	-1.552771789	-1.52054367	-1.655957833	-0.936990125	-0.960056162	-1.180013932	-1.7557396	-1.749544736	-1.877201804	-1.173312277	-1.342952474	-1.504391769	-1.359944329	-1.409873154	-1.353782761
A2RTX5	TARSL2	8	-0.021450896	0.528441833	0.124908532	0.143286975	0.530698612	0.072006542	-0.014196626	0.240061903	-0.197594644	-0.006657442	0.826224531	0.083054702	0.010262223	0.145017088	0.219548681	-0.058296989	0.053377637	-0.266563127	-0.303103786	0.430933573	-0.55586334	-0.284911461	0.271686679	-0.178148562	-0.664351316	-0.134855078	-0.761797922	-0.34956831	-1.845869199	-0.618048999
A2RU67	KIAA1467	5	-0.396402254	-0.3856988	-0.559744544	-0.084745156	-0.059294406	0.102129939	-0.809885489	-0.746989747	-0.479200133	-0.069582576	0.044222719	0.03976691	-0.379611986	0.019590707	-0.104622821	-0.057692671	0.290151978	0.120658165	0.399669161	0.683000659	0.68151858	0.223505354	0.305751487	0.263070905	0.327884897	0.420809728	0.605679792	0.248763084	0.517040525	0.424077559
A2RUC4	TYW5	11	0.009774863	-0.11569347	-0.072926963	0.290301843	0.338376998	0.109640138	-0.24801778	-0.28760366	-0.487668363	0.351973792	0.3576715	0.250516487	0.290411847	-0.64104773	0.073282208	-0.084468854	-0.569164883	-0.107530345	-0.196069006	-0.053869693	-0.261291449	0.049600936	0.112262519	-0.093976599	-0.273827087	0.009059212	-0.245128935	0.851284996	0.450234144	0.714495357
A3KMH1	VWA8	35	-0.253608353	-0.148537271	-0.178713975	0.056744638	0.058993551	-0.165189121	-0.032121391	0.003427245	0.014580797	0.380108664	0.261369531	0.198640814	0.95919297	0.787830695	0.999838273	-0.508794169	-0.495562058	-0.683247752	-0.559133488	-0.281020027	-0.828359944	-0.723822715	-0.578322057	-0.739935735	-0.952812025	-0.453289147	-0.913860452	-1.251566573	-1.24278605	-1.357176734
A3KN83	SBNO1	24	-0.084333292	-0.072645622	0.075078837	0.479009235	0.27616599	0.13363255	-0.729123845	-0.535348259	-0.353381346	0.149134979	0.039320116	-0.048306272	0.74304401	0.721761687	0.284146517	-1.066988699	0.556728305	-0.165324625	-0.370414455	-0.545252862	-0.637769566	-0.874551959	-0.267503062	-0.123781757	-0.25402486	-0.369407127	-0.364915595	-0.767879739	-0.438542417	-0.875342771
A4D161	FAM221A	6	-0.45208036	-0.359987257	-0.335053835	-0.300535671	0.487623025	0.523556098	-0.245442306	-1.425346991	-1.344807006	-0.167564857	0.580146121	0.566998161	-0.068704798	-0.056144031	0.151204087	0.268947251	-0.08844588	-0.32773884	-0.212036511	0.396480647	0.372925539	0.749516463	-0.634881773	-0.753115414	-0.027891518	0.211033568	0.358243618	0.017716064	-0.082508904	-0.279778243
A4D1E9	GTPBP10	8	0.009848675	-0.032808738	0.271547686	0.696833832	0.871886298	0.930190106	-0.21946441	-0.294788204	-0.111200104	0.672511874	0.81834065	1.000682455	0.560728402	0.612108657	0.716802724	-0.948951417	-1.784120318	-1.560542065	-1.796665028	-1.938600641	-1.797053863	-0.974500382	-1.233915716	-1.511451714	-1.928852276	-2.117272662	-1.855088524	-1.718489895	-2.174829664	-2.141261493
A4D1P6	WDR91	15	0.459124693	0.392141766	0.51899141	-0.13911394	-0.300346399	-0.255070266	0.066105891	-0.153515634	0.003487561	-0.022891886	-0.114717059	-0.101430934	0.151108273	0.125337415	0.280548417	-0.543861797	-0.432712968	-0.663172979	-0.258844696	-0.361973548	-0.543082722	-0.574640888	-0.850695425	-0.981986636	-0.342382721	-0.57736016	-0.803567025	-0.561511493	-0.805609248	-1.002618806
A4D1S0	KLRG2	9	-0.670789283	-0.466257938	-0.556089416	0.729133116	0.680674992	0.602769372	-1.458942532	-1.42237823	-1.290088043	0.410207012	0.322046082	0.319689007	-1.627956421	-1.62498699	-0.626467704	0.330499701	0.26658105	0.339676418	0.749451024	0.679113097	0.639947095	-0.14992911	0.087493582	0.075758483	0.630842124	0.599326449	0.526964691	-0.598764189	-0.405624639	0.490798507
A4D1U4	LCHN	4	-0.679213171	-0.308744252	-0.488718464	0.211711192	0.226841228	0.391629845	-1.258865798	-1.010110546	-1.439310662	0.247695546	0.254084883	0.26114849	0.550126995	0.569254024	0.670909861	-0.173300143	0.011462533	-0.029103373	-0.088352435	0.670475582	-0.08560867	-0.21597682	0.454782193	-0.208238945	-0.141016296	-0.164643174	0.0031118	0.140975502	0.009329422	0.172236926
A5D8V6	VPS37C	5	0.47992821	0.426120295	0.559508919	-0.007660585	-0.185689404	0.006480472	0.071851719	0.024606306	-0.028852351	0.129164792	-0.031493242	0.065774228	-0.096765937	-0.252130254	-0.107067702	-0.303883992	-0.463997987	-0.438360816	-0.443593905	-0.38086935	-0.677914138	-0.374444812	-0.315701595	-0.497425621	-0.324857386	-0.417690003	-0.397796254	-0.368803077	-0.402146336	-0.573104432
A5PLN9	TRAPPC13	8	0.533277211	0.50481598	0.529592852	0.47145606	0.390528605	0.368887425	0.175125505	0.097202353	0.135219341	0.49403802	0.418476831	0.423289009	0.218862222	0.261226427	0.128768044	-1.060725517	-1.323547607	-0.609970489	-1.075447812	-1.226377383	-0.69205435	-1.107347029	-0.923299373	-0.37964965	-1.042626215	-1.133374431	-0.853229079	-0.894573638	-0.894926122	-0.638972472
A5YKK6	CNOT1	57	0.179150709	0.254924808	0.271646896	0.504945686	0.430767058	0.346320949	-0.175708426	-0.254155241	-0.260399607	0.645097046	0.530717191	0.540909981	0.488675999	0.349037251	0.457471743	-0.768336988	-1.090996433	-0.988057429	-0.867228281	-1.030180952	-1.014234313	-0.794838396	-0.847959784	-0.893437234	-1.036981675	-1.146135728	-1.131014638	-0.992191199	-0.980950814	-1.149318347
A5YM69	ARHGEF35	16	0.473086713	-0.090378028	0.413771806	0.104732045	0.054565053	-0.501121897	-0.745894545	-0.390967049	-0.277664862	0.346631006	0.220227044	-0.127954963	-0.636728361	-1.071244093	-0.692607379	0.895874453	-0.01722755	0.246959047	0.430619077	0.605750553	-0.227949911	-0.439322328	-0.627697441	0.031245709	0.669382234	0.265668188	-0.476468732	-0.263662156	0.617498504	-0.695180834
A6NCL7	ANKRD33B	2	-0.697952288	-0.858302825	-1.071147586	0.622435353	0.668691029	0.94326636	-0.922807833	-1.294256708	-2.353003772	0.253910651	0.184906628	0.262391201	-1.020462818	-1.254134115	-1.383734136	0.177969556	-0.103592695	-0.160020885	0.578779232	0.599583599	0.958940779	0.207380745	0.451522201	-1.245886246	0.114919615	1.011606623	0.827720708	-0.282732332	0.18537882	-0.774933704
A6ND36	FAM83G	8	-0.583159373	-0.217135459	-0.13437886	0.250928103	0.096127257	0.367072537	0.662620692	0.374877888	0.49240212	0.216702136	0.142732401	0.260140368	0.718960925	0.743324082	0.497369674	-0.986786769	-0.410291215	-0.516075599	-0.680262762	-0.560794936	-0.663016002	-1.617191551	-1.149956051	-1.319362194	-0.999700764	-0.857304443	-0.770005811	-2.076851755	-0.94764012	-1.777320751
A6NDB9	PALM3	18	-0.702661428	-0.495173556	-0.770068403	0.60413401	0.617765726	0.457436575	-1.361070935	-0.754687824	-1.551867965	0.518086376	0.470972659	0.402299609	-0.751874704	-1.22002484	-0.6980417	0.214883943	-0.160583931	0.009766531	0.494565544	0.594563606	0.521768159	-0.224710636	-0.606458182	-0.553947735	0.419744884	0.598077203	0.437637917	0.14062864	-0.08943957	-0.170376368
A6NDG6	PGP	14	-0.031358049	-0.141071325	-0.248686715	-0.406036967	-0.461163463	-0.439658139	-0.601573028	-0.77874097	-0.676412569	-0.241205999	-0.201147703	-0.192370866	-0.276320665	-0.035557256	-0.262663197	0.447131389	0.96442955	0.688006591	0.780106033	0.924592601	0.870693678	0.767570246	0.576283521	0.62358443	0.810003492	0.750932386	0.842100738	0.688965772	0.750301974	0.74470005
A6NDU8	C5orf51	11	0.526045927	0.602058771	0.43787407	-0.078345735	-0.130977417	-0.286914067	0.1863084	0.446537724	0.405320433	0.097097037	0.15576873	0.095579121	0.088091837	-0.011330272	0.194593419	-0.588801342	-0.7217763	-0.998469745	-0.383198564	-0.874455907	-1.018698858	-0.725514471	-0.591733805	-0.535954832	-0.681020035	-0.889479079	-1.17931599	-0.646054598	-0.681325883	-0.761981837
A6NGB9	WIPF3	4	-0.005391601	-0.015732426	-0.188589345	0.338108889	0.332926994	0.392784315	-1.454373953	-0.97323688	-1.591256243	-0.036423385	-0.035026046	0.034728165	-1.726874472	-1.689857057	-1.226863205	0.731269083	0.601527737	0.50122169	0.866080519	0.866250606	1.009478822	0.050816102	0.348860225	-0.78286622	0.777030668	0.720599777	0.610772772	-0.067816992	0.225828021	0.020264238
A6NGN9	IGLON5	3	-0.477274357	0.074456963	-0.262754398	-0.370812606	0.775626562	-0.005950221	-0.067540343	-0.066233544	-0.461620884	-0.322205692	-0.187667559	-0.37675631	0.058889276	-1.094527655	-1.484581423	-0.215479536	-0.576119423	0.489647973	-0.620094697	0.252632885	0.577839968	0.338589546	-0.270631609	-0.644888967	-0.113444831	0.693144097	0.612206933	0.775156956	-0.16978037	-0.377984856
A6NHR9	SMCHD1	53	0.427678082	0.470046949	0.431981497	0.543626846	0.534699644	0.504133475	-0.262961965	-0.49399982	-0.310033433	0.375255531	0.418902851	0.285467123	0.932658651	1.03509133	0.831751769	-1.586438738	-1.736231844	-1.408252606	-1.512540416	-1.654915349	-1.534434669	-0.780902092	-1.209633317	-0.762663443	-1.505508205	-1.807098073	-1.567908664	-1.97182855	-2.157437527	-1.852105097
A6NHX0	GATSL2	6	-0.299530589	-0.167514266	-0.198539197	0.228821545	0.042383826	-0.024047012	-0.489355639	-0.326601068	-0.572431921	-0.292483226	-0.155861308	-0.121085899	-0.85854795	-0.942140861	-0.831899477	0.595203066	0.063156345	0.617294206	0.670512738	0.428143637	0.785367503	0.382589289	0.552768124	0.387615566	0.618527052	0.423763106	0.526534182	0.469929276	0.416940344	0.576746519
A6NI28	ARHGAP42	6	0.38080316	0.67293056	0.79436531	0.52843293	0.704090156	0.821253553	-1.144999718	-1.047213385	-1.580614895	0.511763548	0.545036822	0.705702723	-0.460792382	-0.911552069	-0.686459689	-1.000161505	-0.972532865	-0.378945802	-1.080688717	-0.825914527	-0.833047248	0.185719501	-0.211246389	-0.568609855	-0.875690194	-0.829612144	-0.773478726	-0.103398703	-0.762951765	-1.04053653
A6NIH7	UNC119B	10	0.189129268	0.046224058	0.002106756	-0.017491017	-0.189717305	-0.103391147	-0.141047939	0.208724371	-0.002069338	0.063816042	0.002634372	0.049932143	0.252091019	0.014757197	0.229899536	-0.279311161	-0.217330995	-0.25133608	0.17596945	0.047255199	0.161316865	-0.43884378	-0.451711265	-0.353799202	0.239770244	0.14697502	0.188954779	-0.455270985	-0.812234124	-0.585257809
A6NJ78;P0C7V9	METTL15;METTL15P1	6	0.007311213	0.168720977	-0.017032417	0.588237222	0.402366271	0.718108873	-0.341609422	-0.21811148	-0.067215631	0.412227802	0.45734302	0.757519456	0.161956097	0.391783748	0.458098983	-0.882898994	-0.750493969	-0.783997554	-0.661064247	-0.455385632	-0.577724786	-0.766519549	-0.63987532	-0.988255941	-0.565704174	-0.645780739	-0.627508222	-1.262236118	-1.256004175	-1.257546473
A6NKD9	CCDC85C	12	0.150106174	0.179491826	0.25424745	0.052817733	0.208910177	0.102231187	-0.288274734	-0.604562771	-0.667688977	-0.257289312	0.019708766	-0.088119968	0.249791196	0.6346233	0.505009179	-0.376813274	-0.158625927	-0.269305193	-0.411459759	-0.104404505	-0.401657395	0.059213848	0.499709708	-0.366698915	-0.425393638	-0.138538284	-0.002228773	-0.71520326	-0.433713308	-0.627748719
A6NKN8	PCP4L1	2	-0.231449698	0.022309978	-0.250850798	0.380293483	0.456285663	0.574366396	-0.290017775	-0.309064516	-0.559263479	0.261597697	0.375952655	0.362649746	-0.06916416	0.565642519	-0.348951184	0.260886827	0.095560555	0.016690656	0.299871389	0.665555457	0.301620258	0.5378905	0.431517801	0.183107744	0.160532431	-0.028214594	-0.066221565	0.111251613	0.178104714	-0.471172172
A6NKT7	RGPD3	43	-0.108818655	-0.063801133	0.090264666	1.22671538	0.951658385	1.342468132	-1.019748876	-0.50946293	-0.613927207	0.261278021	0.314740349	0.501407172	0.781278733	0.783364266	1.254546114	-1.196608374	-1.692634682	-1.483960125	-2.042837437	-1.403074103	-1.601295218	-1.126910104	-1.115319117	-0.916059265	-1.399141303	-1.369281343	-1.698297308	-2.49667552	-2.185709579	-2.329107396
A6ZKI3;Q17RB0;Q9BWD3	FAM127A;FAM127C;FAM127B	5	0.044008158	0.447620525	0.513386394	0.508721741	0.882978338	0.590113321	0.591261363	0.765082286	0.49208363	-0.214045236	-0.098575826	-0.311352987	-0.800327636	-0.810792327	-0.941963619	-1.121112205	-1.340279611	-0.944161652	-0.52902708	-0.778687234	-1.05129473	-1.08790138	-1.442036198	-1.17296168	-0.491965482	-0.336338634	-0.462752168	-0.278543215	-0.670209658	-0.427394294
A7E2V4	ZSWIM8	8	0.337790534	0.43001136	0.416524067	-0.007298292	0.249324963	0.033434445	0.647029719	0.456924928	0.61056716	0.044383669	0.139010904	0.2086899	0.23358631	0.197662867	0.247565164	-1.377043248	-1.252004954	-1.116485056	-1.00109662	-0.726368158	-0.734171344	-1.387757036	-1.587707148	-1.229719651	-1.208100723	-0.755189055	-0.807251851	-1.246233643	-1.00733804	-1.266007748
A7KAX9	ARHGAP32	8	0.606783876	0.584319831	0.552418783	0.017461003	0.064847598	-0.13638155	-0.396997063	-0.341997707	-0.312532586	0.139114973	0.174588529	-0.072406079	-0.409370537	-0.648041798	-0.497008786	-0.120899885	-0.237506679	-0.047685003	0.212682128	0.255185739	-0.051206786	-0.356748223	-0.153137266	-0.173864068	-0.020574015	0.043184537	-0.183996954	-0.432275039	-0.424647388	-0.03125512
A8CG34;Q96HA1	POM121C;POM121	9	-0.312239389	-0.307884958	-0.140346748	0.251396499	0.288625724	0.411308695	-0.587928944	-0.786244802	-0.411416914	0.184524886	0.178451227	0.080270557	-0.138446291	0.256962305	0.157185164	0.091421676	-0.055278685	0.061177551	0.142750803	0.160583906	0.131781032	-0.203807595	-0.288056193	-0.206314997	0.113865647	0.023935795	0.047698211	-0.359429926	-0.405295517	-0.453718059
A8MT69	STRA13	2	-0.493793597	-0.504833193	-0.378163033	-0.080298262	-0.260454392	-0.204812164	-1.136251121	-0.911277482	-1.025110353	0.386156816	0.254533662	0.155334193	0.347010147	0.09850252	0.251367267	0.478770651	-0.021650431	0.189197449	0.595161443	0.521793444	0.47299985	0.107228354	0.106994598	0.192229711	0.561924474	0.447850319	0.241291289	0.462197198	0.3032253	0.017551387
A8MVW0	FAM171A2	9	0.308695016	0.089598574	-0.017387093	-0.316222225	0.071624836	-0.106001362	0.110441286	-0.348118152	-0.567882246	-0.494778284	0.056290896	0.033287184	-1.436918755	-0.582131821	0.201984009	0.962027776	-0.051575849	-0.053919473	0.412711589	0.338062848	0.28839027	0.365000339	-0.247281216	-0.130015036	0.143957616	0.388386677	0.320134831	-0.908159883	0.324016877	0.674603326
A8MXV4	NUDT19	4	-0.113320973	-0.077980176	-0.639897548	-0.495909752	-0.386956089	-0.388838985	-0.071003065	-0.125810409	-0.179223295	-0.315105709	-0.353666052	-0.665161693	0.497666731	1.039401139	1.188525842	0.087288254	0.308621463	-0.270919673	0.139680909	0.479840551	0.229189598	0.029541421	0.074156469	-0.395619519	0.249979945	0.243021836	-0.046044401	-0.659539404	-0.023729057	0.027211873
A9UHW6	MIF4GD	8	-0.139184598	0.004556459	0.068788477	-0.263144192	-0.147328315	0.036555618	-0.234581114	-0.18807464	-0.01143804	0.181008549	0.229913815	0.274915169	-0.058753897	-0.044491626	0.123451314	-0.045086624	-0.100841134	-0.014332261	-0.012179318	-0.008837053	0.137018244	-0.118506686	-0.15242304	0.384921044	-0.223515373	0.006692355	0.223240931	-0.248024313	-0.146587383	-0.017471689
B1AK53	ESPN	8	-1.203482935	-0.859983639	-0.882543794	0.636822181	0.419344362	0.597033014	-2.222436549	-1.585827785	-1.518392041	0.407741086	0.303030017	0.31505482	-2.661334528	-0.976579403	-1.560858217	0.309919885	0.375181264	0.296113961	1.015032673	0.811422446	0.655037641	-0.322343687	0.187138832	0.29707624	1.00811441	0.843214972	0.660366055	-1.128844124	0.301065065	-0.180737121
B5ME19	EIF3CL	49	0.797217462	1.166680287	1.182790647	-1.948169765	-1.751223919	-1.433295731	0.316641687	0.620803647	0.779173036	1.226695123	1.510235107	1.46778153	-2.752065167	-2.204483728	-1.864688952	-2.628049764	-1.828026572	-1.79661698	-0.492133422	-0.154306436	-0.23191809	-1.925297601	-1.847004181	-1.487887582	-2.157565539	-2.316869675	-2.002686666	-1.289015604	0.032262821	-0.228716876
B7ZAP0	RABGAP1L_B7ZAP0	6	0.605843401	0.641076457	0.516639185	1.14150542	1.2583409	0.889224374	-0.838852079	-0.896784697	-1.118811815	1.054437848	0.944374024	0.723963865	-1.480711057	-2.044614099	-1.610764214	-0.334415839	-1.064625218	-0.510498866	-1.032005125	-1.060429679	-1.226488289	-0.69252668	-0.854370867	-0.563975326	-0.876915948	-0.965355557	-1.162431739	-0.167712212	-0.833708953	-0.250109547
B7ZC32	KIF28P	2	-0.06311703	0.013159709	-0.052890841	-0.228780219	-0.132344405	-0.038391338	0.770575752	0.706773088	0.003499121	-0.473991135	0.134565649	-0.019919945	-0.936036804	-0.763125991	-0.800099199	-0.352505142	0.336095497	0.171134584	0.005978119	0.421927124	0.418917181	0.135536815	0.163903386	-0.253987678	-0.131400588	0.182196748	0.380418249	0.094189955	0.40549037	-0.056119984
C9J7I0	UMAD1	4	0.204682247	0.614488081	0.471266078	-0.328146343	-0.338663879	-0.671759759	0.176366146	0.254933589	0.045329771	-0.22363432	-0.148388598	-0.474531775	-0.784956849	-1.199404429	-0.803145593	0.332041075	-0.200185219	0.514811284	-0.029548272	0.599950614	0.051754719	-0.520154585	-0.021807052	0.066724004	-0.209624657	0.132512991	-0.017650159	-0.105782405	0.013443179	0.102706815
C9JLW8	FAM195B	6	-0.13448008	-0.030679499	-0.039047425	-0.140407499	0.158243458	-0.15305869	-0.078565516	-0.271248113	-0.225980939	-0.134876598	0.168313803	-0.186264973	-0.645338857	-0.54763726	-0.397999502	0.608402084	-0.070279082	0.474509976	0.340910507	-0.098889086	0.343466896	0.544171615	0.057231943	0.4187782	0.316435438	0.17267737	0.436321139	0.170740168	-0.020260866	0.408558683
E7ETH6;Q9H707	ZNF587B;ZNF552	2	-1.937814032	-2.059648967	-1.636053295	0.451191831	0.750155306	0.360284405	-2.12056912	-1.74111712	-1.88080096	1.14586809	0.816814982	1.129063647	-2.147239437	-1.357786343	-2.354354094	0.455535344	-0.154857598	0.412318401	1.055523527	0.522804709	0.923094897	-0.104622499	0.253132014	0.096319367	0.729827504	0.724141418	0.807601592	1.028635686	-0.274935244	0.892688914
